authors,series,title
"anne Rice","Chroniques des Vampires","Entretien avec un vampire"
"Rice,Anne","Chroniques des Vampires","Cantique Sanglant"
"Rice,Anne","Chroniques des Vampires","Armand le Vampire"
"Alastair Reynolds","Inhibiteurs","Le Gouffre de l'Absolution"
"Alastair Reynolds","Inhibiteurs","La Cité du Gouffre"
"Alastair Reynolds","Inhibiteurs","L'espace de la révélation"
"Alastair Reynolds","Inhibiteurs","L'Arche de la rédemption"
"Alastair Reynolds","Inhibiteurs","Diamond Dogs, Turquoise Days"
"Resnick, Mike","","Santiago T2"
"Resnick, Mike","","Santiago T1"
"Resnick, Mike","Le Faiseur de Veuves","Renaissance"
"Resnick, Mike","","Projet miracle"
"Resnick, Mike","","Markham ou la dévoration"
"Resnick, Mike","","Le retour de l'enfant prodigue"
"Resnick, Mike","Le Faiseur de Veuves","Le Faiseur de Veuves"
"Resnick, Mike","","Kirinyaga: une utopie africaine"
"Resnick, Mike","","Ivoire - une légende du passé et du futur"
"Resnick, Mike","","Avant-poste"
"Resnick, Mike","Le Faiseur de Veuves","Apothéose"
"Albert Raphaël","","Rue farfadet"
"Raphaël Albert","Les extraordinaires et fantastiques enquêtes de Sylvo Sylvain, détective privé","Avant le déluge"
"Pratchett,Terry","Disque-monde","Va-t-en-guerre"
"Terry Pratchett","Disque-monde","Un chapeau de ciel"
"Terry Pratchett","Disque-monde","Trois sœurcières"
"Terry Pratchett","Disque-monde","Timbré"
"Terry Pratchett","","Strate-à-gemmes"
"Terry Pratchett","Disque-monde","Sourcellerie"
"Terry Pratchett","","Roublard"
"Terry Pratchett","Disque-monde","Ronde de nuit"
"Terry Pratchett","","Recueil de nouvelles"
"Terry Pratchett","Disque-monde","Pyramides"
"Terry Pratchett","","Procrastination"
"Pratchett,Terry","Disque-monde","Pieds d'argile"
"Terry Pratchett","Disque-monde","Nobliaux et sorcières"
"Terry Pratchett","Disque-monde","Mortimer"
"Pratchett,Terry","Disque-monde","Disque-monde 32 - Monnayé"
"Pratchett,Terry","Disque-monde","Monnayé"
"Terry Pratchett","Disque-monde","Mécomptes de fées"
"Terry Pratchett","Disque-monde","Masquarade"
"Terry Pratchett","Disque-monde","Les Zinzins d'Olive-Oued"
"Terry Pratchett","Disque-monde","Les tribulations d'un mage en aurient"
"Pratchett,Terry","Disque-monde","Les Petits Dieux"
"Terry Pratchett","Disque-monde","Les ch'tits hommes libres"
"Terry Pratchett","Johnny Maxwell","Le sauveur de l’Humanité"
"Terry Pratchett","Disque-monde","Le régiment monstrueux"
"Terry Pratchett","","Le peuple du tapis"
"Terry Pratchett","Disque-monde","Le père Porcher"
"Terry Pratchett","","Le monde merveilleux du caca"
"Terry Pratchett","Disque-monde","Le huitième sortilège"
"Terry Pratchett","Disque-monde","Le guet des Orfèvres"
"Pratchett,Terry","","Le Grand livre des gnomes"
"Terry Pratchett","Disque-monde","Le Faucheur"
"Terry Pratchett","Disque-monde","Le fabuleux Maurice et ses rongeurs savants"
"Pratchett,Terry","Disque-monde","Le dernier héros"
"Terry Pratchett","Disque-monde","Le dernier continent"
"Terry Pratchett","Disque-monde","Le cinquième éléphant"
"Terry Pratchett","Disque-monde","La Vérité"
"Terry Pratchett & Stephen Baxter","La Longue Terre","La Longue Terre"
"Terry Pratchett & Stephen Baxter","La Longue Terre","La Longue Guerre"
"Terry Pratchett","Disque-monde","La huitième fille"
"Terry Pratchett","Disque-monde","La huitième couleur"
"Terry Pratchett","Disque-monde","L'Hiverrier"
"Terry Pratchett","Johnny Maxwell","Johnny et les morts"
"Terry Pratchett","Johnny Maxwell","Johnny et la bombe"
"Pratchett,Terry","Disque-monde","Disque-monde 31 - Jeu de nains"
"Pratchett,Terry","Un roman du Disque-Monde","Un roman du Disque-Monde 05 - Je m'habillerai de nuit"
"Pratchett,Terry","Disque-monde","Jeu de nains"
"Terry Pratchett","Disque-monde","Eric"
"Pratchett,Terry","","Je m'habillerai de nuit"
"Terry Pratchett","Disque-monde","Coup de tabac"
"Terry Pratchett & Neil Gaiman","","De bons présages"
"Terry Pratchett","Disque-monde","Carpe jugulum"
"Pratchett,Terry","Disque-monde","Au Guet !"
"Terry Pratchett","Disque-monde","Accros du roc"
"Terry Pratchett","Disque-monde","Allez les mages !"
"Pike,Christopher","La Vampire","Tapis rouge"
"Pike,Christopher","La Vampire","Sang noir"
"Pike,Christopher","La Vampire","La Promesse"
"Pike,Christopher","La Vampire","Fantôme"
"Pierre Pevel","Les larmes du cardinal","Les Lames du Cardinal"
"Pierre Pevel","Les Lames du Cardinal","Le Dragon des Arcanes"
"Pevel, Pierre","Haut-Royaume","Le Chevalier"
"Pierre Pevel","Les Lames du Cardinal","L'Alchimiste des ombres"
"Peru, Olivier","","Druide"
"John Norman","Gor","Gor 3 Les Prêtres-Rois de Gor"
"John Norman","Gor","Gor 4 Les Nomades de Gor"
"Norman, John","Gor","Les Nomades de Gor"
"Norman, John","Gor","Les Prêtres-Rois de Gor"
"Norman, John","Gor","Les Assassins de Gor"
"John Norman","Gor","Gor 1 Le tarnier de Gor"
"John Norman","Gor","Gor 2 Le banni de Gor"
"Norman, John","Gor","Le tarnier de Gor"
"Nicholls Stan","","Orcs - 03 - Les guerriers de la tempête"
"Norman, John","Gor","Le banni de Gor"
"Nicholls Stan","","Orcs - 02 - La légion du tonnerre"
"Nicholls, Stan","Orcs","Les guerriers de la tempête"
"Nicholls, Stan","Orcs","La légion du tonnerre"
"Nicholls Stan","","Orcs - 01 - La compagnie de la foudre"
"Nicholls, Stan","Orcs","La compagnie de la foudre"
"Nicholls Stan","La revanche des Orcs","L'Armée des ombres"
"Nicholls Stan","La revanche des Orcs","Inferno"
"John Norman","Gor","Gor 5 Les Assassins de Gor"
"Nicholls Stan","La revanche des Orcs","Armes de destruction magique"
"Newman Kim","Anno Dracula","Anno Dracula"
"Brandon Mull - Fablehaven - 4","","Le temple des dragons"
"Brandon Mull - Fablehaven - 1","","Le sanctuaire secret"
"Brandon Mull - Fablehaven - 3","","Le fléau de l'ombre"
"Brandon Mull - Fablehaven - 5","","La prison des démons"
"Brandon Mull - Fablehaven - 2","","La menace de l'étoile du soir"
"MORGAN, Kass","","Les 100"
"Moorcock,Michael","La légende de Hawkmoon","Le Secret des runes"
"Moorcock, Michael","Corum","Le Roi des Épées"
"Moorcock,Michael","La légende de Hawkmoon","Le Joyau Noir"
"Moorcock, Michael","","Corum 03 - Le Roi des Épées"
"Moorcock,Michael","La légende de Hawkmoon","Le Dieu fou"
"Moorcock, Michael","La légende de Hawkmoon","Le comte Airain"
"Michael Moorcock","","Corum 01 - Le Chevalier des Épées"
"Moorcock,Michael","La légende de Hawkmoon","Le champion de Garathorm"
"Moorcock, Michael","Corum","Le Chevalier des Épées"
"Michael Moorcock","","Les Livres de Corum-02 : La reine des épées"
"Moorcock,Michael","La légende de Hawkmoon","La quête de Tanelorn"
"Moorcock, Michael","Corum","La reine des épées"
"Michael Moorcock","","Corum 04 - La Lance et le Taureau"
"Moorcock, Michael","Elric","La forteresse de la perle"
"Moorcock, Michael","Corum","La Lance et le Taureau"
"Moorcock,Michael","La légende de Hawkmoon","L'Épée de l'Aurore"
"Moorcock,Michael","Elric","Elric des dragons"
"Martin,George R.R.","Le Trône de Fer","Une danse avec les dragons"
"Martin, Georges R.R","Le Trône de Fer","Un Festin pour les Corbeaux"
"Georges R.R. Martin","Le Trône de Fer","George R.R. Martin [LeTronedeFer12]Un Festin pour les Corbeaux"
"Georges R.R. Martin","Le Trône de Fer","George R.R. Martin [LeTronedeFer11]Les Sables de Dorne"
"Georges R.R. Martin","Le Trône de Fer","George R.R. Martin [LeTronedeFer08]Les Noces Pourpres"
"Georges R.R. Martin","","Le Trône de Fer (T 14) : Les Dragons de Meereen"
"Martin, Georges R.R","Le Trône de Fer","Les Sables de Dorne"
"Martin, Georges R.R","Le Trône de Fer","Les Noces Pourpres"
"Georges R.R. Martin","Le Trône de Fer","George R.R. Martin [LeTronedeFer06]Les Brigands"
"Martin, Georges R.R","Le Trône de Fer","Les Brigands"
"Georges R.R. Martin","Le Trône de Fer","George R.R. Martin [LeTronedeFer01]Le Trone de Fer"
"Georges R.R. Martin","Le Trône de Fer","George R.R. Martin [LeTronedeFer02]Le Donjon Rouge"
"Martin, Georges R.R","Le Trône de Fer","Les Dragons de Meereen"
"Martin, Georges R.R","Le Trône de Fer","Le Trone de Fer"
"L'Épée Lige","","Le Chevalier Errant - L'Épée Lige"
"Martin, Georges R.R","Le Trône de Fer","Le Donjon Rouge"
"Georges R.R. Martin","Le Trône de Fer","George R.R. Martin [LeTronedeFer10]Le Chaos"
"Georges R.R. Martin","Le Trône de Fer","George R.R. Martin [LeTronedeFer13]Le bûcher d'un roi"
"Georges R.R. Martin","Le Trône de Fer","George R.R. Martin [LeTronedeFer09]La Loi du Régicide"
"Martin, Georges R.R","Le Trône de Fer","Le Chaos"
"Martin, Georges R.R","Le Trône de Fer","Le bûcher d'un roi"
"Georges R.R. Martin","Le Trône de Fer","George R.R. Martin [LeTronedeFer03]La Bataille des Rois"
"Martin, Georges R.R","Le Trône de Fer","La Bataille des Rois"
"Martin, Georges R.R","Le Trône de Fer","La Loi du Régicide"
"George R.R. Martin","","L'Œuf de dragon: 90 ans avant le Trône de Fer"
"Georges R.R. Martin","Le Trône de Fer","George R.R. Martin [LeTronedeFer04]L'Ombre Maléfique"
"Georges R.R. Martin","Le Trône de Fer","George R.R. Martin [LeTronedeFer05]L'Invincible Forteresse"
"Martin, Georges R.R","Le Trône de Fer","L'Ombre Maléfique"
"Martin, Georges R.R","Le Trône de Fer","L'Invincible Forteresse"
"Georges R.R. Martin","Le Trône de Fer","George R.R. Martin [LeTronedeFer07]L'Epée de Feu"
"Lynch,Scott","Salauds Gentilhommes","Les Mensonges de Locke Lamora"
"Martin, Georges R.R","Le Trône de Fer","L'Œuf de dragon"
"Martin, Georges R.R","Le Trône de Fer","L'Epée de Feu"
"Scott Lynch","Salauds Gentilhommes","[Salauds Gentilhommes-2] Des horizons rouges sang"
"Lynch, Scott","Les Salauds Gentilhommes","Des horizons rouges sang"
"Loevenbruck,Henri","","Le rasoir d'Ockham"
"Henri Loevenbruck","","Gallica - L'Intégrale de la Trilogie"
"Loevenbruck, Henri","","Gallica"
"Lawrence, Mark","L'Empire brisé","Le Roi Écorché"
"Lawrence Mark","L'Empire brisé","Le prince écorché"
"Lawrence, Mark","L'Empire brisé","Le Dormeur écorché"
"Mark Lawrence","L'Empire brisé","L'Empereur Écorché"
"Erik L'Homme","Le livre des étoiles","Qadehar Le Sorcier"
"Erik L'Homme","Le livre des étoiles","Le Livre Des étoiles Tome 3 : Le Visage De L'Ombre"
"Erik L'Homme","Le livre des étoiles","Le Livre Des étoiles Tome 2 : Le Seigneur Sha"
"Erik L'Homme","A Comme Assocation","A Comme Association T6 - Ce qui dort dans la nuit"
"L'homme, Erik","A Comme Assocation","A Comme Association T5 - Là où les mots n'existent pas"
"Erik L'Homme","A Comme Assocation","A Comme Association T4 - Le subtil parfum du soufre"
"Erik L'Homme","A Comme Assocation","A Comme Association T1 - La pâle lumière des ténèbres"
"E.E. Knight","L'âge du feu","L'âge du feu - 02 - La vengeance du dragon"
"E.E. Knight","L'âge du feu","L'âge du feu - 04 - L'attaque du dragon"
"E.E. Knight","L'âge du feu","L'âge du feu - 03 - Dragon Banni"
"Knight, E.E","L'âge du feu","La vengeance du dragon"
"Knight, E.E","L'âge du feu","L'attaque du dragon"
"E.E. Knight","L'âge du feu","L'âge du feu - 01 - Dragon"
"Knight, E.E","L'âge du feu","Dragon Banni"
"Robert Kirkman et Jay Bonansinga","","The Walking Dead : La route de Woodbury"
"Robert Kirkman & Jay Bonansinga","The walking dead","The walking dead : L'ascension du Gouverneur"
"Knight, E.E","L'âge du feu","Dragon"
"Kirkman, Robert","","La route de Woodbury"
"William King - Un Roman De Gotrek & Félix - 6","","Tueur de Vampires"
"William King - Un Roman De Gotrek & Félix - 1","","Tueur De Trolls"
"Kirkman, Robert","","L'ascension du Gouverneur"
"William King - Un Roman De Gotrek & Félix - 2","","Tueur De Skavens"
"William King - Un Roman De Gotrek & Félix - 5","","Tueur de Monstres"
"William King - Un Roman De Gotrek & Félix - 4","","Tueur de Dragons"
"William King - Un Roman De Gotrek & Félix - 3","","Tueur De Démons"
"Stephen King","","Un Tour sur le Bolid"
"Stephen King","","Tout est Fatal"
"Stephen King","","Terres Perdues"
"Stephen King","","Simetierre"
"King, Stephen","","Shining"
"Stephen King","","Salem"
"King, Stephen","","Sac d'Os"
"Stephen King","","Rose Madder"
"Stephen King","","Roadmaster"
"Stephen King - Rêves & Cauchemars","","1"
"Stephen King","","Rage"
"Stephen King","","Peur Bleue"
"King, Stephen","","Rêves et cauchemars"
"Stephen King","","Nuit noire, etoiles mortes"
"Stephen King","","Minuit 4"
"King, Stephen","","Misery"
"King, Stephen","","Minuit 2"
"Stephen King","","Marche ou Crève"
"Stephen King","","Magie et Cristal"
"Stephen King","","Les Trois Cartes"
"King, Stephen","","Les Tommyknockers"
"Stephen King","","Les Régulateurs"
"Stephen King","","Les Loups de la Calla"
"Stephen King","","Le pistolero"
"King, Stephen","","Le Fléau"
"Stephen King","","Le chant de Susannah"
"King,Stephen","La Tour Sombre","La Tour Sombre"
"King, Stephen","","La Tempête du Siecle"
"Stephen King","","La Petite Fille qui Aimait Tom Gordon"
"Stephen King","","La Part des Ténèbres"
"King, Stephen","","La Ligne Verte"
"Stephen King","La Tour Sombre","La clé des vents"
"Stephen King","","La Ballade De La Balle Elastique"
"Stephen King","","L'Année du Loup-Garou"
"Stephen King","","Juste Avant le Crépuscule"
"Stephen King","","Joyland"
"Stephen King","","Insomnie"
"Stephen King","","Histoire De Lisey"
"Stephen King","","Duma Key"
"Stephen King","","Dreamcatcher"
"King, Stephen","","Dome -2"
"Stephen King","","Dome -1"
"Stephen King","","Dolores Claiborne"
"Stephen King","","Différentes Saisons"
"Stephen King","","Desolation"
"Stephen King","","Dead Zone"
"Stephen King","","Danse Macabre"
"Stephen King","","Colorado kid"
"Stephen King","","Cujo"
"Stephen King","","Coeurs Perdus en Atlantide"
"Stephen King","","Chantier"
"Stephen King","","Christine"
"Stephen King","","Cellulaire"
"Stephen King","","Carrie"
"Stephen King","","Ca"
"Stephen King","","Brume, La Faucheuse"
"Stephen King","","Brume"
"Stephen King","","Bazaar"
"Greg Keyes","Les royaumes d'épines et d'os","Le Roi de bruyère"
"Greg Keyes","Les royaumes d'épines et d'os","Le Prince charnel"
"Greg Keyes","Les royaumes d'épines et d'os","Le Chevalier de sang"
"Greg Keyes","Les royaumes d'épines et d'os","La Dernière Reine"
"Daniel Keyes","","Des fleurs pour Algernon"
"Robert Jordan","La Roue Du Temps","Un lever de ténèbres"
"Jordan & Robert","La Roue Du Temps","Nouveau printemps"
"Robert Jordan","La Roue Du Temps","La Roue du Temps, Tome 5 : Les Feux du Ciel"
"Jordan, Robert","La Roue Du Temps","Les Feux du Ciel"
"Robert Jordan","","Le Dragon réincarné"
"Robert Jordan","La Roue Du Temps","La Grande Quête"
"Robert Jordan","La Roue Du Temps","L’Œil du Monde"
"Herbert,Frank","Dune","Les hérétiques de Dune"
"Herbert,Frank","Dune","Les enfants de Dune"
"Herbert Frank","Dune","Dune 2 , Le messie de Dune"
"Herbert,Frank","Dune","La maison des mères"
"Herbert, Frank","Dune","Le messie de Dune"
"Herbert,Frank","Dune","L'Empereur-Dieu de Dune"
"Herbert Frank","Dune","Dune 1"
"Brian Herbert, Kevin J. Anderson","Après Dune","Les Chasseurs de Dune"
"Brian Herbert, Kevin J. Anderson","Après Dune","Le Triomphe de Dune"
"Herbert, Frank","Dune","Dune"
"Herbert Brian & Anderson Kevin","La Genèse de Dune","Le Jihad Butlérien"
"Herbert, Brian","Avant Dune","La Maison Harkonnen"
"Herbert, Brian","Avant Dune","La Maison Des Atreïdes"
"Herbert, Brian","Avant Dune","La Maison Corrino"
"Herbert, Brian","Dune, la génèse","La Guerre Des Machines"
"Brian Herbert & Kevin J. Anderson","Dune, la génèse","La Bataille De Corrin"
"Markus Heitz","","Les êtres de feu"
"Heitz, Markus","La guerre des Nains","le secret de l'eau noire"
"Heitz, Markus","Les Nains","Le passage de pierre"
"Heitz, Markus","Le Destin des Nains","Le Mage maudit"
"Heitz, Markus","Le Destin des Nains","Le Gouffre Noir"
"Heitz, Markus","La revanche des nains","Le diamant de la discorde"
"Heitz, Markus","Les Nains","Les Nains 2 - Lame de feu"
"Heitz, Markus","Les Nains","Lame de feu"
"Heitz, Markus","La revanche des nains","L'Étoile de l'Expiation"
"Peter F. Hamilton","Trilogie du Vide","Vide temporel"
"Peter F. Hamilton","Trilogie du Vide","Vide qui songe"
"Peter F. Hamilton","Trilogie du Vide","Vide en évolution"
"Peter .F. Hamilton","L'aube de la nuit","Rupture dans le reel - Expansion"
"Peter .F. Hamilton","L'aube de la nuit","Rupture dans le reel - Emergence"
"Peter F. Hamilton","L'étoile de Pandore","L'étoile de Pandore - 02 - Pandore menacée"
"Hamilton, Peter F","L'étoile de Pandore","Pandore menacée"
"Hamilton, Peter F","L'étoile de Pandore","Pandore abusée"
"Peter .F. Hamilton","L'aube de la nuit","Le dieu nu - Révélation"
"Peter F. Hamilton","L'étoile de Pandore","L'étoile de Pandore - 01 - Pandore abusée"
"Peter .F. Hamilton","L'aube de la nuit","Le dieu nu - Résistance"
"Hamilton, Peter F","L'aube de la nuit","L'alchimiste du neutronium - Consolidation"
"Peter .F. Hamilton","L'aube de la nuit","L'alchimiste du neutronium - Conflit"
"Peter F. Hamilton","L'étoile de Pandore","L'étoile de Pandore - 04 - Judas démasqué"
"Hamilton, Peter F","L'étoile de Pandore","Judas démasqué"
"Peter F. Hamilton","L'étoile de Pandore","L'étoile de Pandore - 03 - Judas déchaîné"
"Hamilton, Edmond","","Les rois des étoiles"
"Hamilton, Peter F","L'étoile de Pandore","Judas déchaîné"
"Hamilton, Edmond","","Les Loups des étoiles"
"Edmond Hamilton","","Le Retour Aux étoiles"
"Gunn,David","Les Aux'","Le jour des damnés"
"Gunn, David","Les Aux'","Offensif"
"Jon Courtenay Grimwood","","Lame damnée"
"Jon Courtenay Grimwood","","Lame bannie"
"Grimbert,Pierre","Edward Craft","Les Bas de Larguevent"
"Pierre Grimbert","Le Secret de Ji","Le secret de Ji-2"
"Pierre Grimbert","Le Secret de Ji","Le secret de Ji-1"
"Greenwood,Ed","Elminster","La Tentation d'Elminster"
"Ed Greenwood","","La Jeunesse d'un Mage"
"Greenwood,Ed","Elminster","La Damnation d'Elminster"
"Greenwood, Ed","Elminster","Elminster à Myth Drannor"
"Simon R. Green - Nightside - 1","","Vieux démons"
"Green, Simon R","Darkwood","Sang et Honneur"
"Simon R. Green - Darkwood - 4","","Par-dela la lune bleue"
"Simon R. Green - Darkwood - 3","","Les gardes de Haven"
"Simon R. Green - Darkwood - 2","","Les épées de Haven"
"Simon R. Green - Histoire secrète - 2","","Les démons sont éternels"
"Green, Simon R","Darkwood","La nuit de la lune bleue"
"Simon R. Green - Nightside - 3","","La complainte du rossignol"
"Green, Simon R","Histoire secrète","L'homme au torque d'or"
"Simon R. Green - Nightside - 2","","L'envers vaut l'endroit"
"Goodkind,Terry","Epée de Vérité","Les Piliers de la Création"
"Terry Goodkind","L'Épée de vérité","Le troisième royaume"
"Goodkind,Terry","Epée de Vérité","Le Temple des Vents"
"Goodkind,Terry","Epée de Vérité","Le Sang de la Déchirure"
"Goodkind,Terry","Epée de Vérité","Le Fantôme du Souvenir"
"Goodkind,Terry","Epée de Vérité","La première Leçon du Sorcier"
"Terry Goodkind","Epée de Vérité","La Pierre des Larmes"
"Goodkind,Terry","Epée de Vérité","La Machine à Présages"
"Goodkind,Terry","Epée de Vérité","La Foi des Réprouvés"
"Goodkind,Terry","Epée de Vérité","La Chaîne de Flammes"
"Terry Goodkind","","L'ombre d'une Inquisitrice"
"Goodkind,Terry","Epée de Vérité","L'Empire des Vaincus"
"Goodkind,Terry","Epée de Vérité","L'Âme du Feu"
"Goodkind,Terry","Epée de Vérité","Dette d'Os"
"William Gibson - Neuromantique - 1","","Neuromancien"
"William Gibson - Neuromantique - 3","","Mona Lisa S'Eclate"
"William Gibson","","Gravé sur Chrome"
"William Gibson - Neuromantique - 2","","Comte Zéro"
"Stella Gemmell","","La Cité"
"Gemmell, David","Drenaï","Waylander III - Le Héros dans L'ombre"
"Gemmell, David","Drenaï","Waylander II"
"Gemmell,David","","Waylander"
"Gemmell, David","Drenaï","Waylander II - Dans le royaume du loup"
"David Gemmell","","Renegats"
"Gemmell, David","Drenaï","Loup Blanc"
"Gemmell, David","Drenaï","Les Guerriers De L'Hiver"
"Gemmell, David","Drenaï","Les Épées de la Nuit et du Jour"
"Gemmell, David","Drenaï","Légende"
"David Gemmell","Troie","Le Seigneur de l'Arc d'Argent [Troie-1] By Sly"
"Gemmell, David","Drenaï","Le Roi Sur Le Seuil"
"Gemmell, David","Troie","Le Seigneur de l'Arc d'Argent"
"David Gemmell","Le Lion de Macédoine","Le Prince Noir"
"David Gemmell","Troie","Le Bouclier du Tonnerre"
"Gemmell, David","Drenaï","La Quête Des Héros Perdus"
"David Gemmell","Le Lion de Macédoine","La Mort des Nations"
"Gemmell, David","Drenaï","La légende de Marche-Mort"
"Gemmell,David & Stella","Troie","Troie 03 - La chute des rois"
"Gemmell, David","Troie","La chute des rois"
"Gemmell, David","Le Lion de Macédoine","L'Esprit du Chaos"
"David Gemmell","Le Lion de Macédoine","L'Enfant Maudit"
"Gemmell, David","Drenaï","Druss la Légende"
"Mathieu Gaborit","Les Chroniques des Feals","Le Roi Des Cendres"
"Mathieu Gaborit","Les Chroniques des Feals","Le Fiel"
"Mathieu Gaborit","Les Chroniques des Feals","Coeur De Phénix"
"Gaborit, Mathieu","","Chronique du soupir"
"Flanagan, John","L'apprenti d'Araluen","Les rois de Clonmel"
"John Flanagan","","L'apprenti d'Araluen 11 - Les histoires perdues"
"Flanagan, John","L'apprenti d'Araluen","Les histoires perdues"
"Flanagan, John","L'apprenti d'Araluen","Les Guerriers Des Steppes"
"Flanagan, John","L'apprenti d'Araluen","Le sorcier du Nord"
"John Flanagan","","L'apprenti d'Araluen 5 - Le sorcier du Nord"
"Flanagan, John","L'apprenti d'Araluen","Le siège de MacIndaw"
"Flanagan, John","L'apprenti d'Araluen","Le Chant Des Wargals"
"Flanagan, John","L'apprenti d'Araluen","La Traque des Bannis"
"John Flanagan","","L'apprenti d'Araluen 6 - Le siège de MacIndaw"
"Flanagan, John","L'apprenti d'Araluen","La rançon"
"John Flanagan","L'apprenti d'Araluen","La Promesse du Rôdeur"
"Flanagan, John","L'apprenti d'Araluen","L'Ordre Des Rôdeurs"
"Flanagan, John","L'apprenti d'Araluen","L'empereur du Nihon-Ja"
"Fetjaine, Jean-Louis","Chroniques des Elfes","Lliane"
"Fetjaine,Jean-Louis","Chroniques des Elfes","L'Elfe des Terres Noires"
"Feist, Raymond E","La Guerre de la Faille","Ténèbres sur Sethanon"
"Feist, Raymond E","La Guerre de la Faille","Silverthorn"
"Raymond E. Feist","Le Conclave des Ombres","Serre du Faucon argenté"
"Raymond E. Feist","L'Entre-Deux-Guerres","Prince de sang"
"Feist, Raymond E","La Trilogie de l'Empire","Pair de l'Empire"
"Feist, Raymond E","La Trilogie de l'Empire","Maitresse de l'Empire"
"Raymond E. Feist","La Guerre de la Faille","Magicien"
"Feist, Raymond E","La Guerre des Serpents","Les fragments d'une couronne brisée"
"Raymond E. Feist","La Guerre des Ténèbres","Les Faucons de la nuit"
"Feist, Raymond E","Le Conclave des Ombres","Le Roi des renards"
"Raymond E. Feist","Le Conclave des Ombres","Le Retour du banni"
"Raymond E. Feist","L'Entre-Deux-Guerres","Le boucanier du roi"
"Feist, Raymond E","La Guerre des Serpents","La rage d'un roi démon"
"Feist, Raymond E","La Guerre des Démons","La Porte de l’Enfer"
"Raymond E. Feist","La Guerre des Démons","La Légion de la terreur"
"Raymond E. Feist","La Guerre des Ténèbres","La Folie du dieu noir"
"Raymond E. Feist","La Guerre des Ténèbres","La Dimension des ombres"
"Raymond E. Feist","La Guerre des Serpents","L'ombre d'une reine noire"
"Raymond E. Feist","La Guerre des Serpents","L'ascension d'un prince marchand"
"Feist, Raymond E","La Trilogie de l'Empire","Fille de l'Empire"
"Eddings, David et Leigh","La Rédemption d'Althalus","Les yeux d'émeraude"
"Eddings, David et Leigh","La Rédemption d'Althalus","Les trois grimoires"
"David Eddings","","Les Laissés Pour Compte"
"Eddings, David et Leigh","Les Rêveurs","Les Gorges de Cristal"
"Eddings, David et Leigh","La Mallorée","Les Gardiens du Ponant"
"Eddings, David et Leigh","La Trilogie des Périls","Les dômes de feu"
"David et Leigh Eddings","","La trilogie des Périls 1"
"Eddings, David et Leigh","Belgarath le sorcier","Les années noires"
"Eddings,David","Belgarath le sorcier","Les années noire"
"Eddings,David","Belgarath le sorcier","Belgarath 2, les années d'espoir"
"Eddings, David et Leigh","Belgarath le sorcier","Les années d'espoir"
"Eddings, David et Leigh","Polgara la Sorcière","Les Années D'Enfance"
"Eddings, David et Leigh","La Trilogie des Joyaux","Le trône de diamant"
"Eddings,David","Polgara la Sorcière","Polgara La Sorcière, Tome 2 : Les Années D'Enfance"
"Eddings, David et Leigh","Polgara la Sorcière","Le Temps Des Souffrances"
"David Eddings","","La trilogie des Joyaux 1"
"Eddings, David et Leigh","La Mallorée","Le roi des Murgos"
"Eddings, David et Leigh","Les Rêveurs","Le Réveil des Anciens Dieux"
"Eddings, David et Leigh","La Belgariade","Le Pion Blanc des Présages"
"Eddings, David et Leigh","La Belgariade","Le Gambit du Magicien"
"Eddings, David","La Mallorée","Le démon majeur de Karanda"
"Eddings, David et Leigh","La Trilogie des Joyaux","Le chevalier de rubis"
"David Eddings","","La trilogie des Joyaux 2"
"Eddings, David et Leigh","La Belgariade","La Tour Des Maléfices"
"Eddings, David et Leigh","La Mallorée","La sorciere de Darshiva"
"Eddings, David et Leigh","La Mallorée","La sibylle de Kell"
"Eddings, David et Leigh","La Trilogie des Joyaux","La rose de saphir"
"David Eddings","","La trilogie des joyaux3"
"Eddings, David","La Belgariade","La Reine des sortileges"
"Eddings, David et Leigh","Les Rêveurs","La Folie des Dieux"
"Eddings, David et Leigh","La Belgariade","La Fin de Partie de l'Enchanteur"
"Eddings, David et Leigh","Les Rêveurs","La Dame d'Atout"
"Eddings, David et Leigh","La Trilogie des Périls","La cité occulte"
"David Eddings & Leigh Eddings","","La Chanson De Regina"
"Eddings, David et Leigh","La Trilogie des Périls","Ceux-qui-brillent"
"David et Leigh Eddings","","La trilogie des Périls 2"
"Duncan, Dave","","[Les lames du roi 3] Un ciel d’épées"
"Duncan, Dave","Les lames du roi","Un ciel d’épées"
"Duncan, Dave","Les lames du roi","Le Seigneur des Terres de Feu"
"Duncan, Dave","","[Les lames du roi 2] Le Seigneur des Terres de Feu"
"Duncan, Dave","Les lames du roi","L’insigne du Chancelier"
"Duncan, Dave","","[Les lames du roi 1] L’insigne du Chancelier"
"land of ebook","","L'apprenti d'Araluen 7"
"Drake, David","Le seigneur des Isles","Le seigneur des Isles"
"Eddings David et Leigh","","la cité occulte (trilogie des périls tome 3)"
"David Drake","Le seigneur des Isles","La Servante du Dragon"
"Drake, David","Le seigneur des Isles","La reine des démons"
"Cook, Glen","Compagnie Noire","Soldats de pierre 2"
"Cook, Glen","Compagnie Noire","Soldats de pierre 1"
"Cook, Glen","Compagnie Noire","Saisons funestes"
"Cook, Glen","Compagnie Noire","Rêves d'acier"
"Cook, Glen","Compagnie Noire","Le Château noir"
"Cook, Glen","Compagnie Noire","La rose blanche"
"Glen Cook","Compagnie Noire","La pointe d'argent"
"Cook, Glen","Compagnie Noire","La Compagnie Noire"
