authors,series,title
"Hobb, Robin","Assassin Royal","Les secrets de Castelcerf"
"Heinlein, Robert","","Citoyen de la galaxie"
"Sapkowski, Andrzej","La Saga du Sorceleur","Le temps du mépris"
"Weis, Margaret","Les chroniques de Lancedragon","Dragons d'Un crépuscule d'automne"
"Priest,Christopher","","L'Archipel du Rêve"
"Salvatore, R.A","Légende de Drizzt","La Mer des Épées"
"Robinson, Kim Stanley","","Le rêve de Galilée"
"Simak, Clifford D","","Au pays du Mal"
"Grimbert, Pierre","Les Enfants De Ji","la Veuve barbare"
"Card, Orson Scott","Terre des Origines","Le général"
"Mc Caffrey, Anne","Pern : Les origines","La chute des fils"
"Anderson, Kevin J","L'Académie Jedi","Sombre disciple"
"Heinlein, Robert","Histoire du Futur","Révolte en 2100"
"Hobb, Robin","Les Cités des Anciens","Le Puits d’argent"
"Anderson, Kevin J","La saga des 7 soleils","Tempêtes sur l'Horizon"
"Dick, Phillip K","","La brèche dans l'espace"
"Heinlein, Robert","","Sixième colonne"
"Shaw, Bob","","Qui va là ?"
"Dick, Phillip K","","La fille aux cheveux noirs"
"Dick, Phillip K","","Les chaînes de l'avenir"
"Weis, Margaret","Les portes de la mort","Le serpent mage"
"Mc Caffrey, Anne","Le vol de Pégase","Les enfants de Damia"
"Weis, Margaret","Les portes de la mort","La mer de feu"
"Saint Moore, Adam","Les chroniques de l'ére du verseau","Les clans de l'étang vert"
"Van Vogt, Alfred E","","À la poursuite des Slans"
"Barker, Clive","Livre de sang","Apocalypses"
"Simmons, Dan","","Terreur"
"Hobb, Robin","Les Cités des Anciens","Les Eaux Acides"
"Brown, Fredric","Ed & Am Hunter","Les dessous de madame Murphy"
"Salvatore, R.A","Les Royaumes Oubliés - Les Lames Du Chasseur","Les Deux Épées"
"Sapkowski, Andrzej","La Saga du Sorceleur","La dame du lac"
"Van Vogt, Alfred E","","Les fabricants d'armes"
"Salvatore, R.A","Demon Wars","L'Apôtre du Démon"
"Loevenbruck, Henri","La moira","La louve et l'enfant"
"Lackey, Mercedes","La guerre des mages","Le griffon noir"
"Moorcock, Michael","Elric","Elric à la fin des temps"
"Sapkowski, Andrzej","La Saga du Sorceleur","Le baptême du feu"
"Aldiss, Brian","","SuperToys"
"Mc Caffrey, Anne","Le Cycle des Hommes Libres","Terre de rançon"
"Anderson, Kevin J","L'Académie Jedi","Les champions de la force"
"Brown, Fredric","Ed & Am Hunter","Le Fantôme du Chimpanzé"
"Van Vogt, Alfred E","","Planètes à vendre"
"Jeter, K.W","La guerre des chasseurs de prime","Une encombrante cargaison"
"Simmons, Dan","Cantos d'Hyperion","Endymion 1"
"Wul, Stephan","","Piege Sur Zarkass"
"Hobb, Robin","Les Cités des Anciens","Dragons et serpents"
"Pohl, Frederik","","Planète à gogos"
"Card, Orson Scott","Le Cycle d'Ender","L'exil"
"Bear, Greg","","La musique du sang"
"Simmons, Dan","L'échiquier du mal","L'échiquier du mal - Tome 1"
